Site,Species,temp,K,PAM,Replicate,Geno,curve_id
Darwin,Pavona_clavus,12,285.15,0.502,A,1,1
Darwin,Pavona_clavus,12,285.15,0.508,B,1,1
Darwin,Pavona_clavus,16,289.15,0.546,A,1,1
Darwin,Pavona_clavus,16,289.15,0.488,B,1,1
Darwin,Pavona_clavus,20,293.15,0.533,A,1,1
Darwin,Pavona_clavus,20,293.15,0.514,B,1,1
Darwin,Pavona_clavus,26,299.15,0.527,A,1,1
Darwin,Pavona_clavus,26,299.15,NA,B,1,1
Darwin,Pavona_clavus,26,299.15,0.571,A,1,1
Darwin,Pavona_clavus,26,299.15,0.557,B,1,1
Darwin,Pavona_clavus,32.5,305.65,0.524,A,1,1
Darwin,Pavona_clavus,32.5,305.65,0.525,B,1,1
Darwin,Pavona_clavus,34,307.15,0.532,A,1,1
Darwin,Pavona_clavus,34,307.15,NA,B,1,1
Darwin,Pavona_clavus,35.5,308.65,0.466,A,1,1
Darwin,Pavona_clavus,35.5,308.65,0.493,B,1,1
Darwin,Pavona_clavus,12,285.15,0.53,A,2,2
Darwin,Pavona_clavus,12,285.15,0.552,B,2,2
Darwin,Pavona_clavus,16,289.15,0.535,A,2,2
Darwin,Pavona_clavus,16,289.15,0.478,B,2,2
Darwin,Pavona_clavus,20,293.15,0.554,A,2,2
Darwin,Pavona_clavus,20,293.15,0.544,B,2,2
Darwin,Pavona_clavus,26,299.15,0.565,A,2,2
Darwin,Pavona_clavus,26,299.15,0.593,B,2,2
Darwin,Pavona_clavus,26,299.15,0.54,A,2,2
Darwin,Pavona_clavus,26,299.15,0.572,B,2,2
Darwin,Pavona_clavus,32.5,305.65,0.559,A,2,2
Darwin,Pavona_clavus,32.5,305.65,0.485,B,2,2
Darwin,Pavona_clavus,34,307.15,0.515,A,2,2
Darwin,Pavona_clavus,34,307.15,NA,B,2,2
Darwin,Pavona_clavus,35.5,308.65,0.375,A,2,2
Darwin,Pavona_clavus,35.5,308.65,0.449,B,2,2
Darwin,Pavona_clavus,12,285.15,0.539,A,3,3
Darwin,Pavona_clavus,12,285.15,0.523,B,3,3
Darwin,Pavona_clavus,16,289.15,0.547,A,3,3
Darwin,Pavona_clavus,16,289.15,0.53,B,3,3
Darwin,Pavona_clavus,20,293.15,0.545,A,3,3
Darwin,Pavona_clavus,20,293.15,0.499,B,3,3
Darwin,Pavona_clavus,26,299.15,0.513,A,3,3
Darwin,Pavona_clavus,26,299.15,0.515,B,3,3
Darwin,Pavona_clavus,26,299.15,0.547,A,3,3
Darwin,Pavona_clavus,26,299.15,0.539,B,3,3
Darwin,Pavona_clavus,32.5,305.65,0.483,A,3,3
Darwin,Pavona_clavus,32.5,305.65,0.538,B,3,3
Darwin,Pavona_clavus,34,307.15,0.518,A,3,3
Darwin,Pavona_clavus,34,307.15,NA,B,3,3
Darwin,Pavona_clavus,35.5,308.65,0.475,A,3,3
Darwin,Pavona_clavus,35.5,308.65,0.397,B,3,3
Darwin,Pavona_clavus,12,285.15,0.515,A,4,4
Darwin,Pavona_clavus,12,285.15,0.567,B,4,4
Darwin,Pavona_clavus,16,289.15,0.534,A,4,4
Darwin,Pavona_clavus,16,289.15,0.516,B,4,4
Darwin,Pavona_clavus,20,293.15,0.534,A,4,4
Darwin,Pavona_clavus,20,293.15,0.514,B,4,4
Darwin,Pavona_clavus,26,299.15,0.541,A,4,4
Darwin,Pavona_clavus,26,299.15,0.49,B,4,4
Darwin,Pavona_clavus,26,299.15,0.557,A,4,4
Darwin,Pavona_clavus,26,299.15,0.55,B,4,4
Darwin,Pavona_clavus,32.5,305.65,0.55,A,4,4
Darwin,Pavona_clavus,32.5,305.65,0.568,B,4,4
Darwin,Pavona_clavus,34,307.15,0.534,A,4,4
Darwin,Pavona_clavus,34,307.15,NA,B,4,4
Darwin,Pavona_clavus,35.5,308.65,0.454,A,4,4
Darwin,Pavona_clavus,35.5,308.65,0.357,B,4,4
Darwin,Pavona_clavus,12,285.15,0.343,A,5,5
Darwin,Pavona_clavus,12,285.15,0.519,B,5,5
Darwin,Pavona_clavus,16,289.15,0.487,A,5,5
Darwin,Pavona_clavus,16,289.15,0.538,B,5,5
Darwin,Pavona_clavus,20,293.15,0.525,A,5,5
Darwin,Pavona_clavus,20,293.15,0.543,B,5,5
Darwin,Pavona_clavus,26,299.15,0.53,A,5,5
Darwin,Pavona_clavus,26,299.15,0.54,B,5,5
Darwin,Pavona_clavus,26,299.15,0.589,A,5,5
Darwin,Pavona_clavus,26,299.15,0.484,B,5,5
Darwin,Pavona_clavus,32.5,305.65,0.529,A,5,5
Darwin,Pavona_clavus,32.5,305.65,0.422,B,5,5
Darwin,Pavona_clavus,34,307.15,0.604,A,5,5
Darwin,Pavona_clavus,34,307.15,NA,B,5,5
Darwin,Pavona_clavus,35.5,308.65,0.521,A,5,5
Darwin,Pavona_clavus,35.5,308.65,0.418,B,5,5
Darwin,Pavona_clavus,12,285.15,0.468,A,6,6
Darwin,Pavona_clavus,12,285.15,0.512,B,6,6
Darwin,Pavona_clavus,16,289.15,0.531,A,6,6
Darwin,Pavona_clavus,16,289.15,0.543,B,6,6
Darwin,Pavona_clavus,20,293.15,0.54,A,6,6
Darwin,Pavona_clavus,20,293.15,0.557,B,6,6
Darwin,Pavona_clavus,26,299.15,0.551,A,6,6
Darwin,Pavona_clavus,26,299.15,0.536,B,6,6
Darwin,Pavona_clavus,26,299.15,0.552,A,6,6
Darwin,Pavona_clavus,26,299.15,0.58,B,6,6
Darwin,Pavona_clavus,32.5,305.65,0.565,A,6,6
Darwin,Pavona_clavus,32.5,305.65,0.541,B,6,6
Darwin,Pavona_clavus,34,307.15,0.472,A,6,6
Darwin,Pavona_clavus,34,307.15,NA,B,6,6
Darwin,Pavona_clavus,35.5,308.65,0.508,A,6,6
Darwin,Pavona_clavus,35.5,308.65,0.444,B,6,6
Darwin,Pavona_clavus,12,285.15,0.558,A,7,7
Darwin,Pavona_clavus,12,285.15,0.508,B,7,7
Darwin,Pavona_clavus,16,289.15,0.455,A,7,7
Darwin,Pavona_clavus,16,289.15,0.583,B,7,7
Darwin,Pavona_clavus,20,293.15,0.529,A,7,7
Darwin,Pavona_clavus,20,293.15,0.586,B,7,7
Darwin,Pavona_clavus,26,299.15,0.494,A,7,7
Darwin,Pavona_clavus,26,299.15,0.484,B,7,7
Darwin,Pavona_clavus,26,299.15,0.553,A,7,7
Darwin,Pavona_clavus,26,299.15,0.569,B,7,7
Darwin,Pavona_clavus,32.5,305.65,0.545,A,7,7
Darwin,Pavona_clavus,32.5,305.65,0.463,B,7,7
Darwin,Pavona_clavus,34,307.15,0.535,A,7,7
Darwin,Pavona_clavus,34,307.15,NA,B,7,7
Darwin,Pavona_clavus,35.5,308.65,0.34,A,7,7
Darwin,Pavona_clavus,35.5,308.65,0.354,B,7,7
Darwin,Pavona_clavus,12,285.15,0.504,A,8,8
Darwin,Pavona_clavus,12,285.15,0.501,B,8,8
Darwin,Pavona_clavus,16,289.15,0.528,A,8,8
Darwin,Pavona_clavus,16,289.15,0.524,B,8,8
Darwin,Pavona_clavus,20,293.15,0.529,A,8,8
Darwin,Pavona_clavus,20,293.15,0.507,B,8,8
Darwin,Pavona_clavus,26,299.15,0.521,A,8,8
Darwin,Pavona_clavus,26,299.15,0.502,B,8,8
Darwin,Pavona_clavus,26,299.15,0.613,A,8,8
Darwin,Pavona_clavus,26,299.15,0.582,B,8,8
Darwin,Pavona_clavus,32.5,305.65,0.504,A,8,8
Darwin,Pavona_clavus,32.5,305.65,0.534,B,8,8
Darwin,Pavona_clavus,34,307.15,0.468,A,8,8
Darwin,Pavona_clavus,34,307.15,NA,B,8,8
Darwin,Pavona_clavus,35.5,308.65,0.485,A,8,8
Darwin,Pavona_clavus,35.5,308.65,0.434,B,8,8
Espanola,Pavona_clavus,12,285.15,0.347,A,1,9
Espanola,Pavona_clavus,12,285.15,0.451,B,1,9
Espanola,Pavona_clavus,16,289.15,0.434,A,1,9
Espanola,Pavona_clavus,16,289.15,0.426,B,1,9
Espanola,Pavona_clavus,20,293.15,0.505,A,1,9
Espanola,Pavona_clavus,20,293.15,0.497,B,1,9
Espanola,Pavona_clavus,26,299.15,0.518,A,1,9
Espanola,Pavona_clavus,26,299.15,0.499,B,1,9
Espanola,Pavona_clavus,26,299.15,0.54,A,1,9
Espanola,Pavona_clavus,26,299.15,0.531,B,1,9
Espanola,Pavona_clavus,32.5,305.65,0.502,A,1,9
Espanola,Pavona_clavus,32.5,305.65,0.516,B,1,9
Espanola,Pavona_clavus,34,307.15,0.48,A,1,9
Espanola,Pavona_clavus,34,307.15,0.471,B,1,9
Espanola,Pavona_clavus,35.5,308.65,0.417,A,1,9
Espanola,Pavona_clavus,12,285.15,0.297,A,2,10
Espanola,Pavona_clavus,12,285.15,0.37,B,2,10
Espanola,Pavona_clavus,16,289.15,0.439,A,2,10
Espanola,Pavona_clavus,16,289.15,0.428,B,2,10
Espanola,Pavona_clavus,20,293.15,0.48,A,2,10
Espanola,Pavona_clavus,20,293.15,0.455,B,2,10
Espanola,Pavona_clavus,26,299.15,0.484,A,2,10
Espanola,Pavona_clavus,26,299.15,0.483,B,2,10
Espanola,Pavona_clavus,26,299.15,0.528,A,2,10
Espanola,Pavona_clavus,26,299.15,0.527,B,2,10
Espanola,Pavona_clavus,26,299.15,0.593,B,2,10
Espanola,Pavona_clavus,32.5,305.65,0.5,A,2,10
Espanola,Pavona_clavus,32.5,305.65,0.446,B,2,10
Espanola,Pavona_clavus,34,307.15,0.49,A,2,10
Espanola,Pavona_clavus,34,307.15,0.481,B,2,10
Espanola,Pavona_clavus,35.5,308.65,0.435,A,2,10
Espanola,Pavona_clavus,35.5,308.65,0.481,B,2,10
Espanola,Pavona_clavus,12,285.15,0.328,A,3,11
Espanola,Pavona_clavus,12,285.15,0.302,B,3,11
Espanola,Pavona_clavus,16,289.15,0.137,A,3,11
Espanola,Pavona_clavus,16,289.15,0.224,B,3,11
Espanola,Pavona_clavus,20,293.15,0.473,A,3,11
Espanola,Pavona_clavus,20,293.15,0.364,B,3,11
Espanola,Pavona_clavus,26,299.15,0.5,A,3,11
Espanola,Pavona_clavus,26,299.15,0.515,B,3,11
Espanola,Pavona_clavus,26,299.15,0.429,A,3,11
Espanola,Pavona_clavus,26,299.15,0.37,B,3,11
Espanola,Pavona_clavus,32.5,305.65,0.502,A,3,11
Espanola,Pavona_clavus,32.5,305.65,0.377,B,3,11
Espanola,Pavona_clavus,34,307.15,0.353,B,3,11
Espanola,Pavona_clavus,35.5,308.65,0.334,A,3,11
Espanola,Pavona_clavus,35.5,308.65,0.331,B,3,11
Espanola,Pavona_clavus,12,285.15,0.41,A,4,12
Espanola,Pavona_clavus,12,285.15,0.456,B,4,12
Espanola,Pavona_clavus,16,289.15,0.201,A,4,12
Espanola,Pavona_clavus,16,289.15,0.381,B,4,12
Espanola,Pavona_clavus,20,293.15,0.419,A,4,12
Espanola,Pavona_clavus,20,293.15,0.471,B,4,12
Espanola,Pavona_clavus,26,299.15,0.493,A,4,12
Espanola,Pavona_clavus,26,299.15,0.485,B,4,12
Espanola,Pavona_clavus,26,299.15,0.425,A,4,12
Espanola,Pavona_clavus,26,299.15,0.538,B,4,12
Espanola,Pavona_clavus,32.5,305.65,0.496,A,4,12
Espanola,Pavona_clavus,32.5,305.65,0.462,B,4,12
Espanola,Pavona_clavus,34,307.15,0.522,A,4,12
Espanola,Pavona_clavus,34,307.15,0.453,B,4,12
Espanola,Pavona_clavus,35.5,308.65,0.378,A,4,12
Espanola,Pavona_clavus,35.5,308.65,0.477,B,4,12
Espanola,Pavona_clavus,35.5,308.65,0.328,B,4,12
Espanola,Pavona_clavus,12,285.15,0.456,A,5,13
Espanola,Pavona_clavus,12,285.15,0.453,B,5,13
Espanola,Pavona_clavus,16,289.15,0.432,A,5,13
Espanola,Pavona_clavus,16,289.15,0.459,B,5,13
Espanola,Pavona_clavus,20,293.15,0.507,A,5,13
Espanola,Pavona_clavus,20,293.15,0.488,B,5,13
Espanola,Pavona_clavus,26,299.15,0.525,A,5,13
Espanola,Pavona_clavus,26,299.15,0.541,B,5,13
Espanola,Pavona_clavus,26,299.15,0.493,A,5,13
Espanola,Pavona_clavus,26,299.15,0.527,B,5,13
Espanola,Pavona_clavus,32.5,305.65,0.526,A,5,13
Espanola,Pavona_clavus,32.5,305.65,0.519,B,5,13
Espanola,Pavona_clavus,34,307.15,0.462,A,5,13
Espanola,Pavona_clavus,34,307.15,0.487,B,5,13
Espanola,Pavona_clavus,35.5,308.65,0.403,A,5,13
Espanola,Pavona_clavus,35.5,308.65,0.464,B,5,13
Espanola,Pavona_clavus,12,285.15,0.431,A,6,14
Espanola,Pavona_clavus,12,285.15,0.421,B,6,14
Espanola,Pavona_clavus,16,289.15,0.433,A,6,14
Espanola,Pavona_clavus,16,289.15,0.386,B,6,14
Espanola,Pavona_clavus,20,293.15,0.449,A,6,14
Espanola,Pavona_clavus,20,293.15,0.403,B,6,14
Espanola,Pavona_clavus,26,299.15,0.558,A,6,14
Espanola,Pavona_clavus,26,299.15,0.555,B,6,14
Espanola,Pavona_clavus,26,299.15,0.443,A,6,14
Espanola,Pavona_clavus,26,299.15,0.458,B,6,14
Espanola,Pavona_clavus,32.5,305.65,0.497,A,6,14
Espanola,Pavona_clavus,32.5,305.65,0.519,B,6,14
Espanola,Pavona_clavus,34,307.15,0.482,A,6,14
Espanola,Pavona_clavus,34,307.15,0.502,B,6,14
Espanola,Pavona_clavus,35.5,308.65,0.531,A,6,14
Espanola,Pavona_clavus,35.5,308.65,0.53,B,6,14
Espanola,Pavona_clavus,12,285.15,0.425,A,7,15
Espanola,Pavona_clavus,12,285.15,0.42,B,7,15
Espanola,Pavona_clavus,16,289.15,0.466,A,7,15
Espanola,Pavona_clavus,20,293.15,0.459,A,7,15
Espanola,Pavona_clavus,20,293.15,0.494,B,7,15
Espanola,Pavona_clavus,26,299.15,0.513,A,7,15
Espanola,Pavona_clavus,26,299.15,0.468,B,7,15
Espanola,Pavona_clavus,26,299.15,0.514,A,7,15
Espanola,Pavona_clavus,26,299.15,0.51,B,7,15
Espanola,Pavona_clavus,32.5,305.65,0.5,A,7,15
Espanola,Pavona_clavus,32.5,305.65,0.468,B,7,15
Espanola,Pavona_clavus,34,307.15,0.456,A,7,15
Espanola,Pavona_clavus,34,307.15,0.523,B,7,15
Espanola,Pavona_clavus,35.5,308.65,0.387,A,7,15
Espanola,Pavona_clavus,12,285.15,0.369,A,8,16
Espanola,Pavona_clavus,12,285.15,0.395,B,8,16
Espanola,Pavona_clavus,16,289.15,0.465,A,8,16
Espanola,Pavona_clavus,16,289.15,0.397,B,8,16
Espanola,Pavona_clavus,20,293.15,0.395,A,8,16
Espanola,Pavona_clavus,20,293.15,0.497,B,8,16
Espanola,Pavona_clavus,26,299.15,0.477,A,8,16
Espanola,Pavona_clavus,26,299.15,0.507,B,8,16
Espanola,Pavona_clavus,26,299.15,0.517,A,8,16
Espanola,Pavona_clavus,26,299.15,0.497,B,8,16
Espanola,Pavona_clavus,32.5,305.65,0.517,A,8,16
Espanola,Pavona_clavus,32.5,305.65,0.499,B,8,16
Espanola,Pavona_clavus,34,307.15,0.491,A,8,16
Espanola,Pavona_clavus,34,307.15,0.486,A,8,16
Espanola,Pavona_clavus,34,307.15,0.479,B,8,16
Espanola,Pavona_clavus,35.5,308.65,0.459,A,8,16
Espanola,Pavona_clavus,35.5,308.65,0.42,B,8,16
Espanola,Pavona_clavus,35.5,308.65,0.409,B,8,16
Floreana,Pavona_clavus,12,285.15,0.486,A,1,17
Floreana,Pavona_clavus,12,285.15,0.421,B,1,17
Floreana,Pavona_clavus,14,287.15,0.459,A,1,17
Floreana,Pavona_clavus,14,287.15,0.472,B,1,17
Floreana,Pavona_clavus,16,289.15,0.371,A,1,17
Floreana,Pavona_clavus,16,289.15,0.485,B,1,17
Floreana,Pavona_clavus,26,299.15,0.455,A,1,17
Floreana,Pavona_clavus,26,299.15,0.514,B,1,17
Floreana,Pavona_clavus,26,299.15,0.498,A,1,17
Floreana,Pavona_clavus,26,299.15,0.529,B,1,17
Floreana,Pavona_clavus,31,304.15,0.493,B,1,17
Floreana,Pavona_clavus,32.5,305.65,0.517,A,1,17
Floreana,Pavona_clavus,32.5,305.65,0.491,B,1,17
Floreana,Pavona_clavus,34,307.15,0.507,A,1,17
Floreana,Pavona_clavus,34,307.15,0.507,B,1,17
Floreana,Pavona_clavus,12,285.15,0.48,A,2,18
Floreana,Pavona_clavus,12,285.15,0.457,B,2,18
Floreana,Pavona_clavus,14,287.15,0.452,A,2,18
Floreana,Pavona_clavus,14,287.15,0.47,B,2,18
Floreana,Pavona_clavus,16,289.15,0.448,A,2,18
Floreana,Pavona_clavus,16,289.15,0.428,B,2,18
Floreana,Pavona_clavus,26,299.15,0.529,A,2,18
Floreana,Pavona_clavus,26,299.15,0.541,B,2,18
Floreana,Pavona_clavus,26,299.15,0.522,A,2,18
Floreana,Pavona_clavus,26,299.15,0.522,B,2,18
Floreana,Pavona_clavus,31,304.15,0.501,B,2,18
Floreana,Pavona_clavus,32.5,305.65,0.518,A,2,18
Floreana,Pavona_clavus,32.5,305.65,0.519,B,2,18
Floreana,Pavona_clavus,34,307.15,0.478,A,2,18
Floreana,Pavona_clavus,34,307.15,0.491,B,2,18
Floreana,Pavona_clavus,12,285.15,0.41,A,3,19
Floreana,Pavona_clavus,12,285.15,0.44,B,3,19
Floreana,Pavona_clavus,14,287.15,0.488,A,3,19
Floreana,Pavona_clavus,14,287.15,0.462,B,3,19
Floreana,Pavona_clavus,16,289.15,0.506,A,3,19
Floreana,Pavona_clavus,16,289.15,0.47,B,3,19
Floreana,Pavona_clavus,26,299.15,0.542,A,3,19
Floreana,Pavona_clavus,26,299.15,0.547,B,3,19
Floreana,Pavona_clavus,26,299.15,0.542,A,3,19
Floreana,Pavona_clavus,26,299.15,0.505,B,3,19
Floreana,Pavona_clavus,32.5,305.65,0.531,A,3,19
Floreana,Pavona_clavus,32.5,305.65,0.546,B,3,19
Floreana,Pavona_clavus,34,307.15,0.514,A,3,19
Floreana,Pavona_clavus,34,307.15,0.523,B,3,19
Floreana,Pavona_clavus,12,285.15,0.466,A,4,20
Floreana,Pavona_clavus,12,285.15,0.442,B,4,20
Floreana,Pavona_clavus,14,287.15,0.474,A,4,20
Floreana,Pavona_clavus,14,287.15,0.412,B,4,20
Floreana,Pavona_clavus,16,289.15,0.477,A,4,20
Floreana,Pavona_clavus,16,289.15,0.475,B,4,20
Floreana,Pavona_clavus,26,299.15,0.544,A,4,20
Floreana,Pavona_clavus,26,299.15,0.533,B,4,20
Floreana,Pavona_clavus,26,299.15,0.513,A,4,20
Floreana,Pavona_clavus,26,299.15,0.513,B,4,20
Floreana,Pavona_clavus,31,304.15,0.547,B,4,20
Floreana,Pavona_clavus,32.5,305.65,0.54,A,4,20
Floreana,Pavona_clavus,32.5,305.65,0.504,B,4,20
Floreana,Pavona_clavus,34,307.15,0.518,A,4,20
Floreana,Pavona_clavus,34,307.15,0.511,B,4,20
Floreana,Pavona_clavus,12,285.15,0.45,A,5,21
Floreana,Pavona_clavus,12,285.15,0.487,B,5,21
Floreana,Pavona_clavus,14,287.15,0.391,A,5,21
Floreana,Pavona_clavus,14,287.15,0.469,B,5,21
Floreana,Pavona_clavus,16,289.15,0.459,A,5,21
Floreana,Pavona_clavus,16,289.15,0.489,B,5,21
Floreana,Pavona_clavus,26,299.15,0.55,A,5,21
Floreana,Pavona_clavus,26,299.15,0.551,B,5,21
Floreana,Pavona_clavus,26,299.15,0.531,A,5,21
Floreana,Pavona_clavus,26,299.15,0.516,B,5,21
Floreana,Pavona_clavus,31,304.15,0.545,B,5,21
Floreana,Pavona_clavus,31,304.15,0.546,B,5,21
Floreana,Pavona_clavus,32.5,305.65,0.55,A,5,21
Floreana,Pavona_clavus,32.5,305.65,0.537,B,5,21
Floreana,Pavona_clavus,34,307.15,0.484,A,5,21
Floreana,Pavona_clavus,34,307.15,0.498,B,5,21
Floreana,Pavona_clavus,12,285.15,0.443,A,6,22
Floreana,Pavona_clavus,12,285.15,0.466,B,6,22
Floreana,Pavona_clavus,14,287.15,0.448,A,6,22
Floreana,Pavona_clavus,14,287.15,0.447,B,6,22
Floreana,Pavona_clavus,16,289.15,0.501,A,6,22
Floreana,Pavona_clavus,16,289.15,0.479,B,6,22
Floreana,Pavona_clavus,26,299.15,0.518,A,6,22
Floreana,Pavona_clavus,26,299.15,0.542,B,6,22
Floreana,Pavona_clavus,26,299.15,0.524,A,6,22
Floreana,Pavona_clavus,26,299.15,0.531,B,6,22
Floreana,Pavona_clavus,31,304.15,0.531,B,6,22
Floreana,Pavona_clavus,32.5,305.65,0.509,A,6,22
Floreana,Pavona_clavus,32.5,305.65,0.503,B,6,22
Floreana,Pavona_clavus,34,307.15,0.505,A,6,22
Floreana,Pavona_clavus,34,307.15,0.509,B,6,22
Floreana,Pavona_clavus,12,285.15,0.484,A,7,23
Floreana,Pavona_clavus,12,285.15,0.49,B,7,23
Floreana,Pavona_clavus,14,287.15,0.396,A,7,23
Floreana,Pavona_clavus,14,287.15,0.528,B,7,23
Floreana,Pavona_clavus,16,289.15,0.454,A,7,23
Floreana,Pavona_clavus,16,289.15,0.361,B,7,23
