Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.459,A,5,3,3,0,0.5235000000000001,0.010606601717798222,-0.06450000000000006
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.459,A,5,3,3,0,0.5235000000000001,0.010606601717798222,-0.06450000000000006
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.501,A,6,6,5.5,-0.5,0.5275000000000001,0.004949747468305837,-0.02650000000000008
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.501,A,6,6,5.5,-0.5,0.5275000000000001,0.004949747468305837,-0.02650000000000008
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.485,A,1,3,2.5,-0.5,0.599,0.03252691193458122,-0.11399999999999999
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.485,A,1,3,2.5,-0.5,0.599,0.03252691193458122,-0.11399999999999999
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.555,A,6,3,3,0,0.5485,0.02050609665440982,0.006500000000000061
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.555,A,6,3,3,0,0.5485,0.02050609665440982,0.006500000000000061
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.517,A,8,2.5,2.5,0,0.5745,7.071067811865482e-4,-0.057499999999999996
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.517,A,8,2.5,2.5,0,0.5745,7.071067811865482e-4,-0.057499999999999996
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.506,A,3,2.5,2.5,0,0.5235000000000001,0.02616295090390228,-0.01750000000000007
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.506,A,3,2.5,2.5,0,0.5235000000000001,0.02616295090390228,-0.01750000000000007
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.538,A,4,3,3,0,0.569,0.036769552621700424,-0.030999999999999917
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.538,A,4,3,3,0,0.569,0.036769552621700424,-0.030999999999999917
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.52,A,3,2.5,3,0.5,0.589,0.05374011537017758,-0.06899999999999995
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.52,A,3,2.5,3,0.5,0.589,0.05374011537017758,-0.06899999999999995
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,16,Cold,0.521,A,7,4,4,0,0.611,0.004242640687119289,-0.08999999999999997
