Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.54,A,4,4,2,-2,0.5385,0.00777817459305203,0.0015000000000000568
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.531,A,3,4,2.5,-1.5,0.5445,0.0035355339059327407,-0.013499999999999956
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.598,B,8,3.5,3,-0.5,0.575,0.03252691193458114,0.02300000000000002
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.541,B,2,4,3.5,-0.5,0.535,0.008485281374238578,0.006000000000000005
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.551,B,5,2.5,2.5,0,0.5505,7.071067811865482e-4,5.00000000000056e-4
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.59,B,3,3.5,3,-0.5,0.575,0.021213203435596368,0.015000000000000013
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.542,B,6,5,4,-1,0.53,0.016970562748477157,0.01200000000000001
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.596,B,1,2.5,2.5,0,0.5834999999999999,0.017677669529663705,0.012500000000000067
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.576,B,2,3,2.5,-0.5,0.5675,0.01202081528017124,0.008499999999999952
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.584,B,5,3.5,3.5,0,0.598,0.019798989873223347,-0.014000000000000012
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.6,B,7,4,3.5,-0.5,0.5945,0.00777817459305203,0.005499999999999949
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.616,B,4,3,3,0,0.5860000000000001,0.04242640687119281,0.029999999999999916
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.582,B,6,3,2.5,-0.5,0.5489999999999999,0.046669047558312096,0.03300000000000003
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.533,B,4,4.5,2.5,-2,0.5385,0.00777817459305203,-0.005499999999999949
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.559,B,8,5,3.5,-1.5,0.5575000000000001,0.0021213203435596446,0.0014999999999999458
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.547,B,3,4,3,-1,0.5445,0.0035355339059327407,0.0025000000000000577
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.54,B,7,5.5,5,-0.5,0.5255000000000001,0.020506096654409896,0.014499999999999957
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.514,B,1,1.5,1.5,0,0.48450000000000004,0.0417193000900063,0.02949999999999997
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.501,B,7,5,4,-1,0.5255000000000001,0.020506096654409896,-0.024500000000000077
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.507,B,1,4.5,2,-2.5,0.48450000000000004,0.0417193000900063,0.022499999999999964
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.531,B,8,4.5,2.5,-2,0.5575000000000001,0.0021213203435596446,-0.02650000000000008
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.523,B,3,4.5,3.5,-1,0.5445,0.0035355339059327407,-0.021499999999999964
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.565,B,4,3,3,0,0.5860000000000001,0.04242640687119281,-0.02100000000000013
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.491,B,2,3.5,3,-0.5,0.535,0.008485281374238578,-0.04400000000000004
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.549,B,2,3,2.5,-0.5,0.5675,0.01202081528017124,-0.01849999999999996
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.509,B,6,5,3.5,-1.5,0.53,0.016970562748477157,-0.02100000000000002
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.498,B,5,3.5,2.5,-1,0.5505,7.071067811865482e-4,-0.05249999999999999
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.553,B,3,3,3,0,0.575,0.021213203435596368,-0.02199999999999991
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.511,B,4,4,2.5,-1.5,0.5385,0.00777817459305203,-0.02749999999999997
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.602,B,8,3,3,0,0.575,0.03252691193458114,0.027000000000000024
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.565,B,6,3,3,0,0.5489999999999999,0.046669047558312096,0.016000000000000014
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.458,B,5,3,2.5,-0.5,0.598,0.019798989873223347,-0.13999999999999996
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.59,B,7,4.5,2.5,-2,0.5945,0.00777817459305203,-0.0045000000000000595
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.59,B,1,3,3,0,0.5834999999999999,0.017677669529663705,0.006500000000000061
