Site,Geno,term,curve,estimate,std.error,statistic,p.value,date
Isabela,1,ED50,(Intercept),35.90602474167048,0.4796781908189124,74.85440328310796,1.908821389509474e-7,2022-06
Isabela,4,ED50,(Intercept),38.85344861290442,7.449245428464669,5.215756278406353,0.006446161773796485,2022-06
Isabela,6,ED50,(Intercept),40,20.34191081641746,1.9663836087471671,0.12066843416851605,2022-06
Isabela,7,ED50,(Intercept),37.018583023322734,1.6765158596401246,22.080663782846063,2.4899325347745035e-5,2022-06
Isabela,2,ED50,(Intercept),40,8.926362587043611,4.48110858257752,0.010980497599885279,2022-06
Isabela,3,ED50,(Intercept),36.21272529564713,1.664714758668951,21.753111220448115,2.6422371886403778e-5,2022-06
Isabela,8,ED50,(Intercept),39.99999999999999,5.389835495648819,7.4213767808482745,0.0017595106566595034,2022-06
Isabela,5,ED50,(Intercept),35.39870637320647,0.31064011807397,113.95407197462269,3.556386274288088e-8,2022-06
San_Cristobal,2,ED50,(Intercept),35.407769209384576,0.4305162080105054,82.244915639786,5.035828190296306e-9,2022-06
San_Cristobal,6,ED50,(Intercept),35.437171692260996,0.3998354249232568,88.62939470424037,3.4659537324552556e-9,2022-06
San_Cristobal,7,ED50,(Intercept),37.40802845201348,1.6677121834322777,22.43074603857899,3.272511746497096e-6,2022-06
San_Cristobal,1,ED50,(Intercept),35.157009348631036,0.18912148814892688,185.896429288596,8.547006508961765e-11,2022-06
San_Cristobal,8,ED50,(Intercept),35.423242151728225,0.5645604046357382,62.744822096731646,1.9464049405530338e-8,2022-06
San_Cristobal,5,ED50,(Intercept),35.16914090487877,0.13914061963204133,252.75969733269764,1.8394642391998816e-11,2022-06
San_Cristobal,3,ED50,(Intercept),35.87308017053723,1.3683520642879252,26.21626488297452,1.5090486541081673e-6,2022-06
San_Cristobal,4,ED50,(Intercept),35.95099319133172,0.8102683047545398,44.36924532327919,1.097824458477577e-7,2022-06
Espanola,3,ED50,(Intercept),35.370545022035074,0.383055648177701,92.3378762075492,2.823962147465734e-9,2022-06
Espanola,1,ED50,(Intercept),35.719951622664375,0.25926953557307375,137.771495381095,3.821746961300822e-10,2022-06
Espanola,5,ED50,(Intercept),35.42237644150763,0.5296360136805749,66.88060389879563,1.4150220986648055e-8,2022-06
Espanola,8,ED50,(Intercept),35.69993736139316,0.6658061398228786,53.61911707646651,7.242128583636927e-7,2022-06
Espanola,4,ED50,(Intercept),36.199613699325,0.653581256176242,55.38655424592465,6.361955702351374e-7,2022-06
Espanola,7,ED50,(Intercept),35.708159118799955,1.044351702234256,34.19169906307132,4.1681501610276444e-8,2022-06
Espanola,6,ED50,(Intercept),35.57026056170522,0.6962524607481606,51.0881649502295,5.431517438057448e-8,2022-06
Espanola,2,ED50,(Intercept),35.323207502731854,0.354937937552506,99.51939132318445,6.936933050273298e-11,2022-06
Darwin,7,ED50,(Intercept),35.20350679460435,0.15294233332060062,230.17503414708662,2.1372914294376753e-9,2022-06
Darwin,6,ED50,(Intercept),35.172613956331055,0.14578209441741222,241.26840883231293,1.7705152731971308e-9,2022-06
Darwin,1,ED50,(Intercept),35.980058355622454,0.5542384776146755,64.91800877931279,3.3729025370426183e-7,2022-06
Darwin,5,ED50,(Intercept),35.76344949901208,1.8847860126560099,18.974806295710362,4.54404707831109e-5,2022-06
Darwin,4,ED50,(Intercept),35.24140491042532,0.16554570788132322,212.8802091062926,2.921098521910552e-9,2022-06
Darwin,3,ED50,(Intercept),35.976317082896124,1.1561251996840096,31.118011347498623,6.355062495814963e-6,2022-06
Darwin,2,ED50,(Intercept),35.602245934324074,1.51146304036643,23.55482402380999,1.9258895879463805e-5,2022-06
Darwin,8,ED50,(Intercept),40,2.7832896711924544,14.371482930435574,1.362245103100576e-4,2022-06
Wolf,1,ED50,(Intercept),40,3.330719006434311,12.009418964111852,7.062531859315805e-5,2022-06
Wolf,3,ED50,(Intercept),35.664450329124435,0.75138687336684,47.464830160417826,7.841172782217196e-8,2022-06
Wolf,5,ED50,(Intercept),36.860590684033284,3.990541805013188,9.236988981728377,2.498074441925968e-4,2022-06
Wolf,6,ED50,(Intercept),40,7.886356908028375,5.0720504367840205,0.003860348080071789,2022-06
Wolf,8,ED50,(Intercept),35.31898297913007,0.30574995771698865,115.51590470479273,9.220326572676868e-10,2022-06
Wolf,2,ED50,(Intercept),35.56816473558516,0.9219960057968493,38.577352300832175,2.2055665959836963e-7,2022-06
Wolf,4,ED50,(Intercept),35.75980873949939,0.42869322202441773,83.41584821572609,4.692372782228153e-9,2022-06
Wolf,7,ED50,(Intercept),35.48562907421962,0.14164249392787223,250.52954159568634,1.922810714488703e-11,2022-06
